step,loss
1,0.0554838627576828
2,0.07554768025875092
3,0.06627798080444336
4,0.04485747963190079
5,0.07514635473489761
6,0.21267284452915192
7,0.15854595601558685
8,0.05533268302679062
9,0.26070618629455566
10,0.20813915133476257
11,0.22316843271255493
12,0.1350429505109787
13,0.10105370730161667
14,0.06820323318243027
15,0.10667131841182709
16,0.10400015860795975
17,0.09310058504343033
18,0.11551012843847275
19,0.05326465517282486
20,0.2755630612373352
21,0.08464017510414124
22,0.15906476974487305
23,0.10715002566576004
24,0.09901641309261322
25,0.29675695300102234
26,0.14168056845664978
27,0.10598980635404587
28,0.24503055214881897
29,0.29060694575309753
30,0.19835396111011505
31,0.18969038128852844
32,0.130083829164505
33,0.37628939747810364
34,0.20107218623161316
35,0.1492612361907959
36,0.11846202611923218
37,0.0480535663664341
38,0.23223425447940826
39,0.32916104793548584
40,0.4180843234062195
41,0.08547428995370865
42,0.07504216581583023
43,0.2060195654630661
44,0.3477083742618561
45,0.1521858274936676
46,0.17276595532894135
47,0.06968031078577042
48,0.0758308693766594
49,0.0779816210269928
50,0.16066056489944458
51,0.13462254405021667
52,0.11862313747406006
53,0.08035184442996979
54,0.07937111705541611
55,0.08506490290164948
56,0.2507595121860504
57,0.059826672077178955
58,0.07298597693443298
59,0.09767023473978043
60,0.07967090606689453
61,0.32752957940101624
62,0.054066866636276245
63,0.11196349561214447
64,0.19347171485424042
65,0.1600659191608429
66,0.1159355416893959
67,0.06260441243648529
68,0.14822912216186523
69,0.06690581142902374
70,0.03632168844342232
71,0.20893098413944244
72,0.1440684199333191
73,0.14349988102912903
74,0.31066665053367615
75,0.1123427003622055
76,0.09121563285589218
77,0.0753430500626564
78,0.07030897587537766
79,0.09625785797834396
80,0.11912807822227478
81,0.131227046251297
82,0.12901723384857178
83,0.15524275600910187
84,0.03866054490208626
85,0.15986710786819458
86,0.3384537100791931
87,0.03444872051477432
88,0.2822774350643158
89,0.03593551367521286
90,0.07441222667694092
91,0.34921422600746155
92,0.09263655543327332
93,0.14611169695854187
94,0.07799635082483292
95,0.03955438733100891
96,0.20272913575172424
97,0.2815384566783905
98,0.12300104647874832
99,0.10622440278530121
100,0.29324451088905334
101,0.1379086673259735
102,0.04501189664006233
103,0.12470725923776627
104,0.04400103539228439
105,0.14000454545021057
106,0.3444131910800934
107,0.18457040190696716
108,0.09540865570306778
109,0.18536965548992157
110,0.1877031773328781
111,0.1086326614022255
112,0.13060563802719116
113,0.18544384837150574
114,0.1512417197227478
115,0.05070637911558151
116,0.0642111599445343
117,0.27359554171562195
118,0.09384553879499435
119,0.07483872771263123
120,0.07849563658237457
121,0.13887172937393188
122,0.1668878197669983
123,0.16954228281974792
124,0.10107272118330002
125,0.035528481006622314
126,0.06469660252332687
127,0.2891409993171692
128,0.12566342949867249
129,0.15473058819770813
130,0.14818082749843597
131,0.07180259376764297
132,0.0712682455778122
133,0.06456419825553894
134,0.16437016427516937
135,0.31408578157424927
136,0.1826217919588089
137,0.2760647237300873
138,0.17044565081596375
139,0.2132706493139267
140,0.22390249371528625
141,0.2388780564069748
142,0.1435110867023468
143,0.2650839686393738
144,0.13143141567707062
145,0.13622358441352844
146,0.13870930671691895
147,0.08286364376544952
148,0.0800802931189537
149,0.04310932010412216
150,0.07059264183044434
151,0.060952603816986084
152,0.11094632744789124
153,0.09611815959215164
154,0.07419663667678833
155,0.25591644644737244
156,0.16406874358654022
157,0.139698788523674
158,0.08915361762046814
159,0.14782284200191498
160,0.15981453657150269
161,0.06806125491857529
162,0.11400868743658066
163,0.16171661019325256
164,0.10111264139413834
165,0.048675816506147385
166,0.06938467174768448
167,0.11736918240785599
168,0.07053648680448532
169,0.08962588012218475
170,0.21048952639102936
171,0.09370904415845871
172,0.07751904428005219
173,0.17666886746883392
174,0.2794816195964813
175,0.15271669626235962
176,0.03651241958141327
177,0.18845239281654358
178,0.06575202941894531
179,0.16764791309833527
180,0.047639522701501846
181,0.18322935700416565
182,0.04223974421620369
183,0.0705515667796135
184,0.06604914367198944
185,0.06890388578176498
186,0.11132360994815826
187,0.09266246110200882
188,0.15044566988945007
189,0.05838987976312637
190,0.04037275165319443
191,0.10422425717115402
192,0.07694077491760254
193,0.09568582475185394
194,0.2039812058210373
195,0.1348976492881775
196,0.1368897408246994
197,0.12080524861812592
198,0.19282205402851105
199,0.23288555443286896
200,0.08570324629545212
